Version,URL,Page title,Template,Linked from,Links to,Session variables,Validation,Conditional logic
v50,/v50/onb/check-details/preferred-name,Preferred name,v50/onb/check-details/preferred-name.html,/v50/onb/check-details,/v50/check-details/preferred-name-answer,"preferredName, victimForename, victimSurname",None (prototype redirect),
v50,/v50/onb/check-details/risk-level,Domestic abuse risk level,v50/onb/check-details/risk-level.html,/v50/onb/check-details,/v50/check-details/risk-level-answer,"victimForename, victimSurname",None (prototype redirect),
v50,/v50/onb/check-details/translator-needed,Translator needed,v50/onb/check-details/translator-needed.html,/v50/onb/check-details,/v50/check-details/translator-needed-answer,"translatorNeededDetails, victimForename, victimSurname",None (prototype redirect),
v50,/v50/onb/check-details/vps-status,VPS status,v50/onb/check-details/vps-status.html,/v50/onb/check-details,/v50/check-details/vps-status-answer,"victimForename, victimSurname",None (prototype redirect),
v50,/v50/onb/check-task,Check the task details are correct,v50/onb/check-task.html,,"/v50/onb/check-task-answer, /v50/onb/manual-task, /v50/onb/meeting-purpose, /v50/onb/next-task, /v50/onb/next-task-due-date","manualTask, manualTaskName, meetingPurpose, meetingPurposeDetails, nextTask, taskDueDate, taskNote, victimForename, victimSurname",None (prototype redirect),"data['nextTask'] | data['nextTask'] == ""dtc"" | data['nextTask'] == ""no-task"" | data['nextTask'] == ""meeting-offer"" or data['nextTask'] == ""meeting-arranged"" or data['nextTask'] == ""meeting-outcome"" | data['meetingPurpose'] == ""pre-trial"" | data['manualTask'] == ""yes"" | data['manualTaskName'] | data['taskDueDate'] | data['taskNote'] == """" | data['taskDueDate'] | data['nextTask'] == ""no-task"""
v50,/v50/onb/check-task-vlo,Victim liaison officer,v50/onb/check-task-vlo.html,/v50/onb/check-details,/v50/onb/check-task-vlo-answer,"victimForename, victimSurname, vlo",None (prototype redirect),request.session.data.vloReturnTo === 'check-task' | request.session.data.vloReturnTo === 'check-details'
v50,/v50/onb/manual-task,Create a task,v50/onb/manual-task.html,/v50/onb/check-task,/v50/onb/manual-task-answer,"manualTaskName, taskDueDate, taskNote, victimForename, victimSurname",None (prototype redirect),
v50,/v50/onb/meeting-purpose,Task selection,v50/onb/meeting-purpose.html,/v50/onb/check-task,/v50/onb/meeting-purpose-answer,meetingPurposeDetails,None (prototype redirect),
v50,/v50/onb/next-task,Next task,v50/onb/next-task.html,/v50/onb/check-task,/v50/onb/next-task-answer,"nextTask, victimForename, victimSurname",None (prototype redirect),"nextTask == ""other"" | nextTask == ""no-task"" | nextTask == ""meeting-offer"" || nextTask == ""meeting-arranged"" || nextTask == ""meeting-outcome"""
v50,/v50/onb/next-task-due-date,Task due date,v50/onb/next-task-due-date.html,/v50/onb/check-task,/v50/onb/next-task-due-date-answer,taskDueDate,None (prototype redirect),
v50,/v50/onb/onboarded,Victim onboarded,v50/onb/onboarded.html,,/v50/victims,"manualTaskName, nextTask, taskDueDate, victimForename, victimSurname",None (prototype redirect),"data['nextTask'] == ""dtc"""
v50,/v50/onb/pmoc,Preferred method of contact,v50/onb/pmoc.html,,/v50/onb/pmoc-answer,"victimForename, victimSurname",None (prototype redirect),
v50,/v50/onb/service-lead,Service lead,v50/onb/service-lead.html,"/v50/onb/check-details, /v50/victims, /v50/wft-meetings/victims",/v50/onb/service-lead-answer,"victimForename, victimSurname",None (prototype redirect),"onboardedStatus == ""no"""
v50,/v50/other/call-logged,Telephone call logged,v50/other/call-logged.html,,/v50/victim,"victimForename, victimSurname",None (prototype redirect),
v50,/v50/other/contacted-by,How did you contact the victim?,v50/other/contacted-by.html,,/v50/other/contacted-by-answer,"contactedBy, otherContactMethod, victimForename, victimSurname",None (prototype redirect),"contactedBy == ""call"" | contactedBy == ""email"" | contactedBy == ""post"" | contactedBy == ""text"" | contactedBy == ""in-person"" | contactedBy == ""other"""
v50,/v50/other/email-details,Log an email,v50/other/email-details.html,,/v50/other/email-details-answer,"otherCommunications, otherEmailDate, otherEmailHour, otherEmailMinutes, otherEmailType, otherIndividual, otherIndividualName, otherIndividualRole, purposeOfCommunication, victimForename, victimSurname",None (prototype redirect),!Array.isArray(request.session.data['otherCommunications'])
v50,/v50/other/email-logged,Email logged,v50/other/email-logged.html,,/v50/victim,"victimForename, victimSurname",None (prototype redirect),
v50,/v50/other/in-person,Log an in-person conversation,v50/other/in-person.html,,/v50/other/in-person-answer,"otherCommunications, otherInPersonDate, otherInPersonHour, otherInPersonMinutes, otherIndividual, otherIndividualName, otherIndividualRole, purposeOfCommunication, victimForename, victimSurname",None (prototype redirect),!Array.isArray(request.session.data['otherCommunications'])
v50,/v50/other/in-person-logged,In-person meeting logged,v50/other/in-person-logged.html,,/v50/victim,"victimForename, victimSurname",None (prototype redirect),
v50,/v50/other/letter-details,Log a letter,v50/other/letter-details.html,,/v50/other/letter-details-answer,"otherCommunications, otherIndividual, otherIndividualName, otherIndividualRole, otherLetterDate, otherLetterHour, otherLetterMinutes, otherLetterType, purposeOfCommunication, victimForename, victimSurname",None (prototype redirect),!Array.isArray(request.session.data['otherCommunications'])
v50,/v50/other/letter-logged,Letter logged,v50/other/letter-logged.html,,/v50/victim,"victimForename, victimSurname",None (prototype redirect),
v50,/v50/other/log,Log a communication,v50/other/log.html,,,"dateOfCommunicationDay, dateOfCommunicationMonth, dateOfCommunicationYear, individualOtherName, purposeOfCommunication",None (prototype redirect),
v50,/v50/other/other,Log other communication,v50/other/other.html,,/v50/other/other-details-answer,"otherCommsDate, otherCommsHour, otherCommsMinutes, otherCommsType, otherCommunications, otherContactMethod, otherIndividual, otherIndividualName, otherIndividualRole, purposeOfCommunication, victimForename, victimSurname",None (prototype redirect),!Array.isArray(request.session.data['otherCommunications'])
v50,/v50/other/other-logged,Other communication logged,v50/other/other-logged.html,,/v50/victim,"victimForename, victimSurname",None (prototype redirect),
v50,/v50/other/telephone-call,Log a telephone call,v50/other/telephone-call.html,,/v50/other/telephone-call-answer,"otherCallDate, otherCallHour, otherCallMinutes, otherCallType, otherCommunications, otherIndividual, otherIndividualName, otherIndividualRole, purposeOfCommunication, victimForename, victimSurname",None (prototype redirect),!Array.isArray(request.session.data['otherCommunications'])
v50,/v50/other/text-message,Log a text message,v50/other/text-message.html,,/v50/other/text-message-answer,"otherCommunications, otherIndividual, otherIndividualName, otherIndividualRole, otherTextMessageDate, otherTextMessageHour, otherTextMessageMinutes, otherTextMessageType, purposeOfCommunication, victimForename, victimSurname",None (prototype redirect),!Array.isArray(request.session.data['otherCommunications'])
v50,/v50/other/text-message-logged,Text message logged,v50/other/text-message-logged.html,,/v50/victim,"victimForename, victimSurname",None (prototype redirect),
v50,/v50/overview,Overview,v50/overview.html,,/v50/onb/tasks,,None (prototype redirect),
v50,/v50/overview2,Overview,v50/overview2.html,,,,JS submit guard,
v50,/v50/overview3,Overview,v50/overview3.html,,,,JS submit guard,
v50,/v50/overview4,Overview,v50/overview4.html,,,,JS submit guard,
v50,/v50/overview5,Overview,v50/overview5.html,,,,JS submit guard,
v50,/v50/overview6-initial,Overview,v50/overview6-initial.html,,,,None (prototype redirect),
v50,/v50/overview6-vlm,Overview,v50/overview6-vlm.html,,,,None (prototype redirect),
v50,/v50/overview6-vlo,Overview,v50/overview6-vlo.html,,,,None (prototype redirect),
v50,/v50/pcd/call/follow-up-moc,Follow-up method of contact,v50/pcd/call/follow-up-moc.html,"/v50/tasks, /v50/wft-meetings/tasks, /v50/wft-meetings/tasks2",/v50/pcd/call/follow-up-moc-answer,"pcdCallAttempt, pcdFumoc, victimForename, victimSurname",None (prototype redirect),"pcdFumoc == ""Email"" | pcdCallAttempt == ""1"" | pcdCallAttempt == ""2"" | pcdFumoc == ""Post"" | pcdCallAttempt == ""1"" | pcdCallAttempt == ""2"" | pcdCallAttempt == ""1"" | pcdCallAttempt == ""2"""
v50,/v50/pcd/call/next-attempt-moc,Next attempt method of contact,v50/pcd/call/next-attempt-moc.html,"/v50/tasks, /v50/wft-meetings/tasks, /v50/wft-meetings/tasks2",/v50/pcd/call/next-attempt-moc-answer,"pcdAttemptToContactAgain, pcdCallAttempt",None (prototype redirect),"pcdAttemptToContactAgain == ""call"" | pcdCallAttempt == ""1"" | pcdAttemptToContactAgain == ""email"" | pcdCallAttempt == ""1"" | pcdCallAttempt == ""2"""
v50,/v50/pcd/call/phone-call-1,Telephone call 1,v50/pcd/call/phone-call-1.html,,/v50/pcd/call/phone-call-1-answer,"pcdCallDate1, pcdVictimInformed1",None (prototype redirect),"pcdVictimInformed1 == ""Yes"""
v50,/v50/pcd/call/phone-call-2,Telephone call 2,v50/pcd/call/phone-call-2.html,,/v50/pcd/call/phone-call-2-answer,"pcdCallDate2, pcdVictimInformed2",None (prototype redirect),"pcdVictimInformed2 == ""Yes"""
v50,/v50/pcd/call/phone-call-3,Telephone call 3 details,v50/pcd/call/phone-call-3.html,,/v50/pcd/call/phone-call-3-answer,"pcdCallDate3, pcdVictimInformed3",None (prototype redirect),"pcdVictimInformed3 == ""Yes"""
v50,/v50/pcd/call/text-message-details,Text message details,v50/pcd/call/text-message-details.html,,/v50/pcd/call/text-message-details-answer,pcdCallDate1,None (prototype redirect),
v50,/v50/pcd/call/was-text-message-sent,Was a text message sent to the victim?,v50/pcd/call/was-text-message-sent.html,"/v50/tasks, /v50/wft-meetings/tasks, /v50/wft-meetings/tasks2",/v50/pcd/call/was-text-message-sent-answer,"pcdWasTextMessageSent, victimForename, victimSurname",None (prototype redirect),"pcdWasTextMessageSent == ""Yes"""
v50,/v50/pcd/draft/first-hearing,First hearing,v50/pcd/draft/first-hearing.html,,/v50/pcd/draft/first-hearing-answer,"firstHearingDate, firstHearingLocation",None (prototype redirect),
v50,/v50/pcd/draft/pcd-type,Charging decision type,v50/pcd/draft/pcd-type.html,,/v50/pcd/draft/pcd-type-answer,"existingTask, pcdType, victimForename, victimSurname",None (prototype redirect),"pcdType == ""dtc"" | existingTask == ""dtc"" | pcdType == ""nfa"" | existingTask == ""nfa"""
v50,/v50/pcd/draft/task-already-exists,This task already exists,v50/pcd/draft/task-already-exists.html,,"/v50/pcd/draft/task-already-exists-answer, /v50/victim/new-task/task-due-date","existingTask, existingTaskDueDate, pcdType, victimForename, victimSurname",None (prototype redirect),"data['existingTask'] == ""dtc"" | data['existingTaskDueDate']"
v50,/v50/pcd/follow-up/call-logged,Follow-up telephone call logged,v50/pcd/follow-up/call-logged.html,,/v50/victim,"pcdType, victimForename, victimSurname",None (prototype redirect),"(data['pcdType'] == ""dtc"")"
v50,/v50/pcd/follow-up/email-details,Follow-up email details,v50/pcd/follow-up/email-details.html,,/v50/pcd/follow-up/email-details-answer,"followUpEmailDispatchDate, followUpEmailDispatchNotes",error markup,
v50,/v50/pcd/follow-up/email-logged,Follow-up email logged,v50/pcd/follow-up/email-logged.html,,/v50/victim,"pcdType, victimForename, victimSurname",None (prototype redirect),"(data['pcdType'] == ""dtc"")"
v50,/v50/pcd/follow-up/letter-details,Follow-up letter details,v50/pcd/follow-up/letter-details.html,,/v50/pcd/follow-up/letter-details-answer,"followUpLetterDispatchDate, followUpLetterDispatchNotes",error markup,
v50,/v50/pcd/follow-up/letter-logged,Follow-up letter logged,v50/pcd/follow-up/letter-logged.html,,/v50/victim,"pcdType, victimForename, victimSurname",None (prototype redirect),"(data['pcdType'] == ""dtc"")"
v50,/v50/pcd/follow-up/log-follow-up,Log a follow-up,v50/pcd/follow-up/log-follow-up.html,,/v50/pcd/follow-up/log-follow-up-answer,"pcdFollowUpType, victimForename, victimSurname",error markup,"pcdFollowUpType == ""call"" | pcdFollowUpType == ""email"" | pcdFollowUpType == ""not-contacted"""
v50,/v50/pcd/follow-up/not-contacted-logged,Decision not to contact logged,v50/pcd/follow-up/not-contacted-logged.html,,/v50/victim,"pcdType, victimForename, victimSurname",None (prototype redirect),"(data['pcdType'] == ""dtc"")"
v50,/v50/pcd/follow-up/not-contacted-reason,Reason for not contacting the victim,v50/pcd/follow-up/not-contacted-reason.html,,/v50/pcd/follow-up/not-contacted-reason-answer,"followUpNotContactedReason, victimForename, victimSurname",error markup,
v50,/v50/pcd/follow-up/telephone-call,Follow-up telephone call,v50/pcd/follow-up/telephone-call.html,,/v50/pcd/follow-up/telephone-call-answer,"followUpCallDate, followUpCallHour, followUpCallMinutes, followUpCallNotes, followUpCallType, followUpVictimInformed",None (prototype redirect),
v50,/v50/pcd/pre-draft/check-eligibility,Check eligibility,v50/pcd/pre-draft/check-eligibility.html,,/v50/pcd/pre-draft/check-eligibility-answer,"victimForename, victimSurname",None (prototype redirect),
v50,/v50/pcd/pre-draft/contacted-by,How did you contact the victim?,v50/pcd/pre-draft/contacted-by.html,"/v50/tasks, /v50/wft-meetings/tasks, /v50/wft-meetings/tasks2",/v50/pcd/pre-draft/contacted-by-answer,"contactedBy, successReason, victimForename, victimSurname",None (prototype redirect),"data['successReason'] != ""task-created"" | contactedBy == ""call"" | contactedBy == ""email"" | contactedBy == ""post"" | contactedBy == ""not-contacted"""
v50,/v50/pcd/pre-draft/not-contacted-reason,Reason for not contacting the victim,v50/pcd/pre-draft/not-contacted-reason.html,,/v50/pcd/pre-draft/not-contacted-reason-answer,"notContactedReason, victimForename, victimSurname",None (prototype redirect),
v50,/v50/pcd/send/email-details,Email details,v50/pcd/send/email-details.html,"/v50/tasks, /v50/wft-meetings/tasks, /v50/wft-meetings/tasks2",/v50/pcd/send/email-details-answer,emailDispatchDate,None (prototype redirect),
v50,/v50/pcd/send/email-logged,Email logged,v50/pcd/send/email-logged.html,,/v50/victim,"contactedBy, pcdCallAttempt, pcdType, pcdVictimInformed1, pcdVictimInformed2, pcdVictimInformed3, victimForename, victimSurname",None (prototype redirect),"(data['pcdType'] == ""dtc"") | (data['contactedBy'] == ""call"") | (data['pcdCallAttempt'] == ""1"") | (data['pcdVictimInformed1'] == ""Yes"") | (data['pcdVictimInformed2'] == ""Yes"") | (data['pcdVictimInformed3'] == ""Yes"")"
v50,/v50/pcd/send/letter-details,Letter details,v50/pcd/send/letter-details.html,"/v50/tasks, /v50/wft-meetings/tasks, /v50/wft-meetings/tasks2",/v50/pcd/send/letter-details-answer,letterDispatchDate,None (prototype redirect),
v50,/v50/pcd/send/letter-logged,Letter logged,v50/pcd/send/letter-logged.html,,/v50/victim,"contactedBy, pcdCallAttempt, pcdType, pcdVictimInformed1, pcdVictimInformed2, pcdVictimInformed3, victimForename, victimSurname",None (prototype redirect),"(data['pcdType'] == ""dtc"") | (data['contactedBy'] == ""call"") | (data['pcdCallAttempt'] == ""1"") | (data['pcdVictimInformed1'] == ""Yes"") | (data['pcdVictimInformed2'] == ""Yes"") | (data['pcdVictimInformed3'] == ""Yes"")"
v50,/v50/sign-in,Sign in to your account,v50/sign-in.html,,/v50/sign-in-answer,password,None (prototype redirect),
v50,/v50/task-assignee,Task Assignee,v50/task-assignee.html,"/v50/tasks, /v50/wft-meetings/tasks, /v50/wft-meetings/tasks2",/v50/task-assignee-answer,"task-assignee, taskAssignee",None (prototype redirect),
v50,/v50/task-updated,Victim onboarded,v50/task-updated.html,,/v50/tasks,"taskDueDate, taskName",None (prototype redirect),
v50,/v50/tasks,Tasks,v50/tasks.html,/v50/task-updated,"/v50/next-task-due-date, /v50/onb/tasks/clear-filters, /v50/pcd/call/follow-up-moc, /v50/pcd/call/next-attempt-moc, /v50/pcd/call/was-text-message-sent, /v50/pcd/pre-draft/contacted-by, /v50/pcd/send/email-details, /v50/pcd/send/letter-details, /v50/task-assignee, /v50/update-manual-task, /v50/vcl/call/follow-up-moc, /v50/vcl/call/next-attempt-moc, /v50/vcl/call/was-text-message-sent, /v50/vcl/pre-draft/contacted-by, /v50/vcl/send/email-details, /v50/vcl/send/letter-details, /v50/victim","area, manualTaskName, meetingPurpose, meetingPurposeDetails, nextTask, onboardedStatus, pcdFumoc, pcdSent, pcdStatus, service, serviceLead, taskAssignee, taskDueDate, vclFumoc, vclStatus, victimForename, victimSurname, vlo",None (prototype redirect),"loop.index == 6 | (data['pcdSent'] == ""yes"") or (data['pcdFumoc'] == ""None"") or (data['nextTask'] == """") or (data['nextTask'] == ""no-task"") | (data['nextTask'] == ""dtc"") | data['meetingPurpose'] == ""pre-trial"" | data['taskDueDate'] | data['onboardedStatus'] == 'Yes' | (data['nextTask'] == ""dtc"") or (data['nextTask'] == ""nfa"") | (data['pcdStatus'] == ""log-not-started"") | (data['pcdFumoc'] == ""Email"") | (data['vclStatus'] == ""log-not-started"") | (data['vclFumoc'] == ""Email"") | record.purpose | record.dueDateTag"
v50,/v50/update-manual-task,Update task status,v50/update-manual-task.html,/v50/tasks,/v50/update-manual-task-answer,"manualTaskName, taskAction, taskDueDate, taskNote",None (prototype redirect),"data['taskDueDate'] | data['taskNote'] == """" | request.body['taskAction'] === 'complete'"
v50,/v50/victim,Victim,v50/victim/index.html,"/v50/other/call-logged, /v50/other/email-logged, /v50/other/in-person-logged, /v50/other/letter-logged, /v50/other/other-logged, /v50/other/text-message-logged, /v50/pcd/follow-up/call-logged, /v50/pcd/follow-up/email-logged, /v50/pcd/follow-up/letter-logged, /v50/pcd/follow-up/not-contacted-logged, /v50/pcd/send/email-logged, /v50/pcd/send/letter-logged, /v50/tasks, /v50/victim/case-contacts/family-liaison-officer, /v50/victim/case-contacts/idva, /v50/victim/case-contacts/isva, /v50/victim/new-task/task-created, /v50/victims, /v50/wft-meetings/tasks, /v50/wft-meetings/tasks2, /v50/wft-meetings/victims",,"area, case-locked, caseType, existingTaskDueDate, pmoc, pmocPolice, preferredCorrespondenceLanguage, preferredCorrespondenceLanguageOther, riskLevel, serviceLead, success, successReason, translatorNeeded, victimDateOfBirth, victimEmailAddress, victimEthnicity, victimForename, victimGender, victimPreferredName, victimPreviousConvictions, victimReligion, victimSurname, victimTitle, victimWantsContact, vpsStatus",JS submit guard,"(data['case-locked'] == ""by-someone-else"") | (data['success'] == ""yes"") and (data['successReason'] == ""charging-type-updated"" or data['successReason'] == ""area-updated"") | (data['successReason'] == ""charging-type-updated"") | (data['successReason'] == ""email-address-updated"") | data['preferredCorrespondenceLanguage'] == 'Other' | data['serviceLead'] == ""Not aligned"" | (data['successReason'] == ""not-informed-after-call-1"") or (data['successReason'] == ""informed-after-call-1"")"
v50,/v50/victim/case-contacts/family-liaison-officer,Family Liaison Officer,v50/victim/case-contacts/family-liaison-officer.html,,"/v50/victim, /v50/victim/case-contacts/family-liaison-officer-answer, /v50/victim/case-contacts/family-liaison-officer-delete","familyLiaisonOfficerDeleted, familyLiaisonOfficerEmailAddress, familyLiaisonOfficerForename, familyLiaisonOfficerName, familyLiaisonOfficerPhoneNumber, familyLiaisonOfficerSurname",None (prototype redirect),isExisting | isExisting
v50,/v50/victim/case-contacts/idva,Independent Domestic Violence Advisor (IDVA),v50/victim/case-contacts/idva.html,,"/v50/victim, /v50/victim/case-contacts/idva-answer, /v50/victim/case-contacts/idva-delete","idvaAddressLine1, idvaAddressLine2, idvaAddressLine3, idvaAddressLine4, idvaAddressLine5, idvaCity, idvaCounty, idvaDeleted, idvaEmailAddress, idvaName, idvaPhoneNumber, idvaPostCode",None (prototype redirect),isExisting | isExisting
v50,/v50/victim/case-contacts/isva,Independent Sexual Violence Advisor (ISVA),v50/victim/case-contacts/isva.html,,"/v50/victim, /v50/victim/case-contacts/isva-answer, /v50/victim/case-contacts/isva-delete","isvaAddressLine1, isvaAddressLine2, isvaAddressLine3, isvaAddressLine4, isvaAddressLine5, isvaCity, isvaCounty, isvaDeleted, isvaEmailAddress, isvaName, isvaPhoneNumber, isvaPostCode",None (prototype redirect),isExisting | isExisting
v50,/v50/victim/case-information/area,Change area,v50/victim/case-information/area.html,,/v50/victim/case-information/area-answer,area,None (prototype redirect),
v50,/v50/victim/case-information/charging-type,Change charging type,v50/victim/case-information/charging-type.html,,/v50/victim/case-information/charging-type-answer,,None (prototype redirect),
v50,/v50/victim/index-notasks,Victim,v50/victim/index-notasks.html,,/v50/victim/new-task/task-selection,"area, case-locked, caseType, pmoc, pmocPolice, preferredCorrespondenceLanguage, preferredCorrespondenceLanguageOther, riskLevel, serviceLead, success, successReason, translatorNeeded, victimDateOfBirth, victimDisability, victimEmailAddress, victimEthnicity, victimForename, victimGender, victimPreferredName, victimPreviousConvictions, victimReligion, victimSurname, victimTitle, victimWantsContact, vpsStatus",JS submit guard,"(data['case-locked'] == ""by-someone-else"") | (data['success'] == ""yes"") and (data['successReason'] == ""charging-type-updated"" or data['successReason'] == ""area-updated"") | (data['successReason'] == ""charging-type-updated"") | (data['successReason'] == ""email-address-updated"") | data['preferredCorrespondenceLanguage'] == 'Other' | data['serviceLead'] == ""Not aligned"" | (data['successReason'] == ""not-informed-after-call-1"") or (data['successReason'] == ""informed-after-call-1"")"
v50,/v50/victim/index-withtasks,Victim,v50/victim/index-withtasks.html,,/v50/victim/new-task/task-selection,"area, case-locked, caseType, existingTaskDueDate, pmoc, pmocPolice, preferredCorrespondenceLanguage, preferredCorrespondenceLanguageOther, riskLevel, serviceLead, success, successReason, translatorNeeded, victimDateOfBirth, victimDisability, victimEmailAddress, victimEthnicity, victimForename, victimGender, victimPreferredName, victimPreviousConvictions, victimReligion, victimSurname, victimTitle, victimWantsContact, vpsStatus",JS submit guard,"(data['case-locked'] == ""by-someone-else"") | (data['success'] == ""yes"") and (data['successReason'] == ""charging-type-updated"" or data['successReason'] == ""area-updated"") | (data['successReason'] == ""charging-type-updated"") | (data['successReason'] == ""email-address-updated"") | data['preferredCorrespondenceLanguage'] == 'Other' | data['serviceLead'] == ""Not aligned"" | (data['successReason'] == ""not-informed-after-call-1"") or (data['successReason'] == ""informed-after-call-1"")"
v50,/v50/victim/index-withtasks-v2,Victim,v50/victim/index-withtasks-v2.html,,,"area, case-locked, caseType, existingTaskDueDate, pmoc, pmocPolice, preferredCorrespondenceLanguage, preferredCorrespondenceLanguageOther, riskLevel, serviceLead, success, successReason, translatorNeeded, victimDateOfBirth, victimDisability, victimEmailAddress, victimEthnicity, victimForename, victimGender, victimPreferredName, victimPreviousConvictions, victimReligion, victimSurname, victimTitle, victimWantsContact, vpsStatus",JS submit guard,"(data['case-locked'] == ""by-someone-else"") | (data['success'] == ""yes"") and (data['successReason'] == ""charging-type-updated"" or data['successReason'] == ""area-updated"") | (data['successReason'] == ""charging-type-updated"") | (data['successReason'] == ""email-address-updated"") | data['preferredCorrespondenceLanguage'] == 'Other' | data['serviceLead'] == ""Not aligned"" | (data['successReason'] == ""not-informed-after-call-1"") or (data['successReason'] == ""informed-after-call-1"")"
v50,/v50/victim/index-withtasks-v3,Victim,v50/victim/index-withtasks-v3.html,,/v50/victim/new-task/task-selection,"area, case-locked, caseType, pmoc, pmocPolice, preferredCorrespondenceLanguage, preferredCorrespondenceLanguageOther, riskLevel, serviceLead, success, successReason, translatorNeeded, victimDateOfBirth, victimDisability, victimEmailAddress, victimEthnicity, victimForename, victimGender, victimPreferredName, victimPreviousConvictions, victimReligion, victimSurname, victimTitle, victimWantsContact, vpsStatus",JS submit guard,"(data['case-locked'] == ""by-someone-else"") | (data['success'] == ""yes"") and (data['successReason'] == ""charging-type-updated"" or data['successReason'] == ""area-updated"") | (data['successReason'] == ""charging-type-updated"") | (data['successReason'] == ""email-address-updated"") | data['preferredCorrespondenceLanguage'] == 'Other' | data['serviceLead'] == ""Not aligned"" | (data['successReason'] == ""not-informed-after-call-1"") or (data['successReason'] == ""informed-after-call-1"")"
v50,/v50/victim/index-withtasks-v4,Victim,v50/victim/index-withtasks-v4.html,,/v50/victim/new-task/task-selection,"area, case-locked, caseType, pmoc, pmocPolice, preferredCorrespondenceLanguage, preferredCorrespondenceLanguageOther, riskLevel, serviceLead, success, successReason, translatorNeeded, victimDateOfBirth, victimDisability, victimEmailAddress, victimEthnicity, victimForename, victimGender, victimPreferredName, victimPreviousConvictions, victimReligion, victimSurname, victimTitle, victimWantsContact, vpsStatus",JS submit guard,"(data['case-locked'] == ""by-someone-else"") | (data['success'] == ""yes"") and (data['successReason'] == ""charging-type-updated"" or data['successReason'] == ""area-updated"") | (data['successReason'] == ""charging-type-updated"") | (data['successReason'] == ""email-address-updated"") | data['preferredCorrespondenceLanguage'] == 'Other' | data['serviceLead'] == ""Not aligned"" | (data['successReason'] == ""not-informed-after-call-1"") or (data['successReason'] == ""informed-after-call-1"")"
